Item Name,Costs,Container No.,Container Name
PopCorn - small,Rs. 10,2,Bombay Chatwala
Masala Tea,Rs. 10,2,Bombay Chatwala
Tandoori Tea,Rs. 10,2,Bombay Chatwala
Panipuri - Spicy (3),Rs. 10,2,Bombay Chatwala
Only Chapati (1),Rs. 10,2,Bombay Chatwala
Sandwich (small),Rs. 25,2,Bombay Chatwala
(Paneer/Mushroom/Aloo/Chili),Rs. 25,2,Bombay Chatwala
Kalan Chaat,Rs. 25,2,Bombay Chatwala
Samosa Chaat,Rs. 40,2,Bombay Chatwala
Vada Pav/Pav Bhaji,Rs. 40,2,Bombay Chatwala
Sandwich,Rs. 40,2,Bombay Chatwala
(Paneer/Mushroom/Aloo/Chili),Rs. 40,2,Bombay Chatwala
Tandoori Tikka,Rs. 40,2,Bombay Chatwala
(Paneer/Mushroom/Aloo/Gobi),Rs. 40,2,Bombay Chatwala
Chili,Rs. 40,2,Bombay Chatwala
(Paneer/Mushroom/Bread/Gobi),Rs. 40,2,Bombay Chatwala
Paratha,Rs. 40,2,Bombay Chatwala
(Paneer/Mushroom/Aloo/Chili),Rs. 40,2,Bombay Chatwala
Panipuri Spicy (6),Rs. 20,2,Bombay Chatwala
Panipuri Chocolate (2),Rs. 20,2,Bombay Chatwala
PopCorn (Peri Peri),Rs. 20,2,Bombay Chatwala
Samosa Chaat - small,Rs. 20,2,Bombay Chatwala
Vada Pav - small,Rs. 20,2,Bombay Chatwala
Pav Bhaji - small,Rs. 20,2,Bombay Chatwala
Spicy Pasta,Rs. 20,2,Bombay Chatwala
Bread Pakora,Rs. 20,2,Bombay Chatwala
Chapati (2) with side dish,Rs. 30,2,Bombay Chatwala
Dahi Puri,Rs. 30,2,Bombay Chatwala
Bhel Puri,Rs. 30,2,Bombay Chatwala
Masala Chaat,Rs. 30,2,Bombay Chatwala
Masala Puri,Rs. 30,2,Bombay Chatwala
Sev Puri,Rs. 30,2,Bombay Chatwala
Dahi Bhalla,Rs. 30,2,Bombay Chatwala
Aloo Kachori,Rs. 30,2,Bombay Chatwala
Spring Potato,Rs. 30,2,Bombay Chatwala
UPMA DOSA,Rs. 40,7,Godavari Ruchulu
PODI DOSA,Rs. 40,7,Godavari Ruchulu
ONION DOSA,Rs. 45,7,Godavari Ruchulu
MASALA DOSA,Rs. 35,7,Godavari Ruchulu
PLAIN DOSA,Rs. 30,7,Godavari Ruchulu
PESARATTU,Rs. 50,7,Godavari Ruchulu
UPMA PESARATTU,Rs. 60,7,Godavari Ruchulu
KAARAM MASALA DOSA,Rs. 45,7,Godavari Ruchulu
KAARAM ONION DOSA,Rs. 50,7,Godavari Ruchulu
KAARAM PODI DOSA,Rs. 50,7,Godavari Ruchulu
GHEE DOSA,Rs. 40,7,Godavari Ruchulu
GHEE KAARAM DOSA,Rs. 50,7,Godavari Ruchulu
GHEE MASALA DOSA,Rs. 45,7,Godavari Ruchulu
GHEE ONION DOSA,Rs. 55,7,Godavari Ruchulu
GHEE PODI DOSA,Rs. 50,7,Godavari Ruchulu
GHEE UPMA DOSA,Rs. 50,7,Godavari Ruchulu
GHEE KAARAM MASALA DOSA,Rs. 55,7,Godavari Ruchulu
GHEE KAARAM ONION DOSA,Rs. 65,7,Godavari Ruchulu
GHEE KAARAM PODI DOSA,Rs. 60,7,Godavari Ruchulu
GHEE PESARATTU,Rs. 60,7,Godavari Ruchulu
GHEE UPMA PESARATTU,Rs. 70,7,Godavari Ruchulu
PUMOSULO (10 PCS),Rs. 30,7,Godavari Ruchulu
MYSORE BONDA (5 PCS),Rs. 30,7,Godavari Ruchulu
POORI (2 PCS),Rs. 30,7,Godavari Ruchulu
ANDHRA GODHUMA RAVA UPMA,Rs. 40,7,Godavari Ruchulu
ANDHRA RAVA IDLY (3 PCS),Rs. 25,7,Godavari Ruchulu
MINAPA GARELU,Rs. 30,7,Godavari Ruchulu
ANDHRA GODHUMA KESARI,Rs. 20,7,Godavari Ruchulu
CHAPATI - ANDHRA SPICY CURRY (2 PCS),Rs. 35,7,Godavari Ruchulu
PULKA - ANDHRA SPICY CURRY (3 PCS),Rs. 30,7,Godavari Ruchulu
ANDHRA SPECIAL VEG MEALS (LIMITED),Rs. 00,7,Godavari Ruchulu
ANDHRA VEG BIRIYANI - CURRY,Rs. 70,7,Godavari Ruchulu
"COMBO-1 (1 PC PLAIN DOSA, 1 PC POORI, 2 PCS MYSORE BONDA)",Rs. 60,7,Godavari Ruchulu
"COMBO-2 (1 PC MASALA DOSA, 1 PC POORI, 2 PCS MYSORE BONDA)",Rs. 60,7,Godavari Ruchulu
"COMBO-3 (1 PC PODI DOSA, 2 PCS MYSORE BONDA)",Rs. 60,7,Godavari Ruchulu
Parcel (Extra),Rs. 5,7,Godavari Ruchulu
Chocolate Bun,Rs. 30,17,Namu's Cake Shop
Masala Bun,Rs. 35,17,Namu's Cake Shop
Garlic Bread,Rs. 40/45,17,Namu's Cake Shop
Bread,Rs. 80,17,Namu's Cake Shop
Eggless Classic Brownie,Rs. 50,17,Namu's Cake Shop
Cakey Brownie,Rs. 40,17,Namu's Cake Shop
Extra Ice-Cream,Rs. 25/20,17,Namu's Cake Shop
Chocolate Waffle (Half),Rs. 60,17,Namu's Cake Shop
Chocolate Waffle (Full),Rs. 100,17,Namu's Cake Shop
Chocochip Cupcake,Rs. 30,17,Namu's Cake Shop
Veg Puff,Rs. 20,17,Namu's Cake Shop
Fresh Lemon Juice,Rs. 15,15,Juice Club
Sarbath,Rs. 20,15,Juice Club
Lemon Saltsoda,Rs. 20,15,Juice Club
Rose Milk,Rs. 25,15,Juice Club
Fruit Mixer,Rs. 25,15,Juice Club
Badham Fruit Mixer,Rs. 30,15,Juice Club
Rose Mixer,Rs. 30,15,Juice Club
Badham Milk,Rs. 30,15,Juice Club
Watermelon Juice,Rs. 35,15,Juice Club
Papaya Juice,Rs. 35,15,Juice Club
Amla Juice,Rs. 35,15,Juice Club
Mango Juice,Rs. 40,15,Juice Club
Pineapple Juice,Rs. 40,15,Juice Club
Grapes Juice,Rs. 40,15,Juice Club
Dates Juice,Rs. 50,15,Juice Club
Chathukudi Juice,Rs. 50,15,Juice Club
Muskmelon Juice,Rs. 50,15,Juice Club
Orange Juice,Rs. 50,15,Juice Club
Fig Fruit Juice,Rs. 55,15,Juice Club
Apple Juice,Rs. 60,15,Juice Club
Pomegranate Juice,Rs. 60,15,Juice Club
Rose Milkshake,Rs. 50,15,Juice Club
Badam Milk Shake,Rs. 50,15,Juice Club
Papaya Shake,Rs. 55,15,Juice Club
Grape Shake,Rs. 55,15,Juice Club
Vannila Milkshake,Rs. 55,15,Juice Club
Chocolate Milk Shake,Rs. 55,15,Juice Club
Pista Milk Shake,Rs. 60,15,Juice Club
Dates Shake,Rs. 60,15,Juice Club
Mango Shake,Rs. 60,15,Juice Club
Oreo Milk Shake,Rs. 60,15,Juice Club
Orange Shake,Rs. 60,15,Juice Club
Fig Fruit Shake,Rs. 60,15,Juice Club
Butterscotch Milk Shake,Rs. 60,15,Juice Club
Pomegranate Milk Shake,Rs. 70,15,Juice Club
Herbal Tea,Rs. 10,13,Hill View
Payasam,Rs. 30,13,Hill View
Kerala Snacks,Rs. 10,13,Hill View
Appam with Curry,Rs. 40,13,Hill View
Puttu with Curry,Rs. 60,13,Hill View
Idyappam with Curry,Rs. 40,13,Hill View
Pasta,Rs. 40,13,Hill View
Ghee Rice with Curry,Rs. 70,13,Hill View
Kappa Briyani,Rs. 30,13,Hill View
Pakka Vada,Rs. 25,13,Hill View
Cheese Fries,Rs. 40,13,Hill View
French Fries,Rs. 40,13,Hill View
One Plate Idly,Rs. 30,14,Raja Restaurant
Pongal,Rs. 30,14,Raja Restaurant
Poori One Plate,Rs. 30,14,Raja Restaurant
Vadai,Rs. 07,14,Raja Restaurant
Sambar Rice,Rs. 40,14,Raja Restaurant
Tomato Rice,Rs. 40,14,Raja Restaurant
Lemon Rice,Rs. 40,14,Raja Restaurant
Tamarind Rice,Rs. 40,14,Raja Restaurant
Veg Biriyani,Rs. 40,14,Raja Restaurant
Curd Rice,Rs. 40,14,Raja Restaurant
Chapati One Piece,Rs. 15,14,Raja Restaurant
Parotta One Piece,Rs. 15,14,Raja Restaurant
Veg Kothu Parotta,Rs. 50,14,Raja Restaurant
Special Dosai,Rs. 40,14,Raja Restaurant
Nice Dosai,Rs. 20,14,Raja Restaurant
Ghee Dosai,Rs. 50,14,Raja Restaurant
Onion Dosai,Rs. 50,14,Raja Restaurant
Podi Dosai,Rs. 45,14,Raja Restaurant
Masala Dosai,Rs. 50,14,Raja Restaurant
Kal Dosai,Rs. 20,14,Raja Restaurant
Kara Dosai,Rs. 50,14,Raja Restaurant
